WY,octmaxout,octmeanout,octmedout,octminout,novmaxout,novmeanout,novmedout,novminout,decmaxout,decmeanout,decmedout,decminout,janmaxout,janmeanout,janmedout,janminout,febmaxout,febmeanout,febmedout,febminout,marmaxout,marmeanout,marmedout,marminout,aprmaxout,aprmeanout,aprmedout,aprminout,maymaxout,maymeanout,maymedout,mayminout,junmaxout,junmeanout,junmedout,junminout,julmaxout,julmeanout,julmedout,julminout,augmaxout,augmeanout,augmedout,augminout,sepmaxout,sepmeanout,sepmedout,sepminout,SAC_min,SAC_max,SAC_mean,SAC_median,YOLO_min,YOLO_max,YOLO_mean,YOLO_median,CSMR_min,CSMR_max,CSMR_mean,CSMR_median,MOKE_min,MOKE_max,MOKE_mean,MOKE_median,MISC_min,MISC_max,MISC_mean,MISC_median,SJR_min,SJR_max,SJR_mean,SJR_median,EAST_min,EAST_max,EAST_mean,EAST_median,TOT_min,TOT_max,TOT_mean,TOT_median,CCC_min,CCC_max,CCC_mean,CCC_median,SWP_min,SWP_max,SWP_mean,SWP_median,CVP_min,CVP_max,CVP_mean,CVP_median,NBAQ_min,NBAQ_max,NBAQ_mean,NBAQ_median,EXPORT_min,EXPORT_max,EXPORT_mean,EXPORT_median,GCD_min,GCD_max,GCD_mean,GCD_median,PREC_min,PREC_max,PREC_mean,PREC_median,MISDV_min,MISDV_max,MISDV_mean,MISDV_median,CD_min,CD_max,CD_mean,CD_median,XGEO_min,XGEO_max,XGEO_mean,XGEO_median,WEST_min,WEST_max,WEST_mean,WEST_median,RIO_min,RIO_max,RIO_mean,RIO_median,OUT_min,OUT_max,OUT_mean,OUT_median,EXPIN_min,EXPIN_max,EXPIN_mean,EXPIN_median,DIVE_min,DIVE_max,DIVE_mean,DIVE_median,EFFECT_min,EFFECT_max,EFFECT_mean,EFFECT_median,EFFD_min,EFFD_max,EFFD_mean,EFFD_median,X2_min,X2_max,X2_mean,X2_median,spawn_days_over_20k,spawn_days_over_30k,peak_spawn_days_over_20k,peak_spawn_days_over_30k,Dec_days_over_30k,Jan_days_over_30k,Feb_days_over_30k,Mar_days_over_30k,Apr_days_over_30k,May_days_over_30k
1956,7339,5956.967742,6178,4793,19515,10676.2,10477.5,6489,409273,125021.5484,31652,15448,295158,188311.4839,186338,134811,172276,98144.51724,88146,52755,122071,63542.09677,53410,43885,49147,40217.46667,39437.5,32970,76809,59667.3871,62436,38722,62232,35497.56667,30107,17178,20748,8794.645161,7833,5661,7982,7029.741935,7069,5712,17179,12055.63333,12468.5,7715,7330,90200,30873.82514,21650,4,249600,13632.89344,87.5,0,35600,1054.497268,278.5,25,14200,1306.510929,1080,0,5203,902.5983607,82,615,47400,8679.019126,4155,743,69332,11942.62568,6525,8291,383322,56449.34426,33292,26,128,61.24590164,55.5,0,0,0,0,0,3385,999.9398907,491,0,0,0,0,26,3468,1061.185792,550,850,4400,2331.557377,2000,0,28843,1609.07377,0,0,0,0,0,-26793,4400,722.4836066,1700,2292,12825,5504.557377,4972.5,-1987,99003,15916.47541,10667.5,2611,334251,38799.87705,18117.5,4793,409273,54665.67486,30800,0,0.25,0.062896175,0.02,-35,58,15.11748634,6,7399,385133,50647.20765,27388.5,-37,52,4.117486339,-4,NA,NA,NA,NA,172,169,60,60,17,31,29,31,30,31
1957,19736,12733.54839,11946,11236,22112,16190.7,15701,13592,16429,13925.32258,13850,12443,24989,15718.64516,16029,11011,115684,24489.60714,11942.5,9179,130506,63622.03226,57349,23499,32763,20479.83333,19116,11798,80796,32732.09677,19096,11652,32850,15580.73333,11996,2904,3060,2427.193548,2645,1446,5545,3708.064516,3788,2161,14798,9012.8,9359,5883,8730,83200,18216.08219,12700,2,39583,1065.742466,25,0,7220,323.8821918,59,60,4130,492.0931507,371,0,1024,129.690411,32,555,9260,1992.331507,1830,644,13284,2937.99726,2400,9619,127125,22219.82192,15540,33,140,74.10958904,64,0,0,0,0,0,4418,1631.824658,1728,0,0,0,0,38,4467,1705.934247,1827,850,4400,2335.342466,2000,0,13249,1039.276712,0,0,0,0,0,-11349,4400,1296.065753,1850,2108,11894,4734.369863,4838,-1118,27063,5124.115068,4253,2872,105399,14184.59178,9365,1446,130506,19217.82192,13565,0,0.38,0.108383562,0.07,-38,85,22.93150685,15,8875,124719,20719.16164,13835,-41,84,16.11232877,6,NA,NA,NA,NA,69,47,11,5,0,0,5,25,4,13
1958,33474,19506.67742,18188,12640,33079,19732.26667,18280,15809,49984,26825.83871,19300,14633,98412,44482.16129,38069,27954,283836,184221.1429,177407,99310,213179,111577.2903,107126,60340,280134,153782.2333,128606,80410,103531,78858.96774,76519,64736,76810,50529.16667,49898,24723,22410,12009.03226,10356,7849,12072,9224.419355,8725,6861,17202,14392.53333,14208.5,10873,12200,88800,35750.9589,27700,7,174510,13210.27671,418,0,25800,1103.389041,126,183,4760,1111.041096,475,0,5497,1053.90411,101,1410,40900,8365.534247,2700,1723,65557,11633.86849,3650,14336,278826,60595.10411,32548,27,121,66.1260274,59,0,0,0,0,0,3613,915.9369863,509,0,0,0,0,27,3713,982.0630137,585,850,4400,2335.342466,2000,0,24066,2142.284932,0,0,0,0,0,-22316,4400,193.0575342,1866,2637,28108,7982.857534,6279,1586,102420,18509.30411,9219,5484,250123,40924.30959,23593,6861,283836,59419.98356,32988,0,0.24,0.04630137,0.01,-27,52,10.32876712,5,12656,274556,55080.18904,30623,-30,46,0.008219178,-4,NA,NA,NA,NA,166,160,59,56,12,28,28,31,30,31
1959,15352,13051.3871,12882,11186,15493,14722.93333,15050.5,13711,17862,14437.16129,14790,11844,58414,32889.74194,31915,11753,130420,58739.17857,40008,21724,57059,27659.41935,23230,18664,19652,11640.4,11185.5,4447,9934,7303.387097,7707,4435,3598,1322.433333,1228,302,5298,2560.935484,2340,1326,6787,5194.064516,5000,4063,29324,9925.066667,6383,4702,7140,67300,16541.12329,12600,0,46902,816.9616438,20,0,3420,160.1890411,30,23,741,174.9616438,106,0,1404,154.6876712,34,206,5560,1717.717808,1150,236,10447,2207.556164,1752,7690,122938,19565.6411,14761,43,192,94.77534247,89,0,0,0,0,0,4095,1851.821918,1957,0,0,0,0,49,4247,1946.59726,2050,850,4400,2335.342466,2000,0,16189,1069.726027,0,0,0,0,0,-13839,4400,1265.616438,1900,2318,9779,5488.610959,5488,-1832,24843,4927.010959,5333,1886,106651,11515.09863,6375,302,130420,16353.4274,12233,0,0.45,0.149260274,0.11,-93,96,29.47945205,18,7214,120986,18355.17534,13408,-75,96,23.79726027,11,NA,NA,NA,NA,78,49,53,40,0,18,22,9,0,0
1960,6417,5683.129032,5734,4799,6867,6016.333333,5859.5,5528,13051,6937.83871,5996,5271,26122,14230.74194,12317,6917,148367,49316.13793,37469,16464,66146,33273.19355,28463,12833,30643,16877.9,18313,7674,20260,12407.29032,12173,9325,9350,3847.2,2470,1377,3431,2244.451613,2055,900,4485,2730.83871,2493,2045,6674,5500.1,5329.5,4517,6260,69100,14819.5082,10100,1,67482,791.8360656,30,0,6600,191.0300546,0,15,661,62.21311475,30,0,712,88.02459016,16,143,3100,757.4781421,617.5,178,9060,1098.745902,1011,7564,142860,16710.09016,10622,49,199,104.8333333,88,0,0,0,0,68,4154,1914.311475,1790,0,0,0,0,136,4332,2019.144809,1922.5,850,4400,2331.557377,2000,0,11785,755.7650273,0,0,0,0,0,-10885,4400,1575.79235,1850,3924,11671,5755.803279,5020,-2119,23023,3811.229508,3387,1848,128149,9414.322404,4177.5,900,148367,13115.15301,6297,0,0.43,0.155191257,0.11,-70,91,33.18032787,31,6474,142325,16104.55464,10274.5,-65,90,29.21311475,22,NA,NA,NA,NA,68,31,28,17,0,0,17,13,1,0
1961,6047,5012.741935,5031,3793,26497,13543.06667,12469.5,6265,38067,19090,16553,12080,34789,15579.67742,13091,10150,58855,41997.28571,43622.5,23782,42537,28425.16129,28540,19616,24940,13397.33333,11792,4705,11823,8579.83871,8420,5725,9927,3541.3,1788,347,2468,1672.225806,1552,856,5393,4006.83871,4047,2124,8121,5650.933333,5474.5,4321,6780,49500,15740.43836,11900,2,3912,223.1315068,19,0,606,60.07945205,15,12,707,75.21917808,31,0,36,5.479452055,0,30,1590,603.8876712,394,47,2487,744.6657534,563,7714,52585,16708.23562,12523,48,210,108.1315068,117,0,0,0,0,0,4934,2056.035616,2019,0,0,0,0,48,5139,2164.167123,2158,850,4400,2335.342466,2000,0,18236,978.2986301,0,0,0,0,0,-17286,4400,1357.043836,1850,2531,12843,5915.671233,5400,-2810,19092,3614.178082,2818,2217,43910,9667.936986,5823,347,58855,13187.02466,9112,0,0.48,0.169150685,0.16,-105,96,31.39452055,31,6819,51880,16263.28767,12075,-87,96,29.03561644,27,NA,NA,NA,NA,79,44,34,25,4,2,23,15,0,0
1962,5574,4259.677419,4484,2768,17094,8251.3,5720.5,5234,42377,16139.77419,11617,8510,28555,11132.3871,8698,6766,170651,74766.14286,71454.5,11399,80546,47503.25806,44325,28813,32411,27384.86667,28908,21045,24790,18173.22581,18228,13193,16705,10317.13333,10419.5,3435,3888,2795.032258,2675,2406,7047,5027.645161,5006,2895,9868,8515.166667,8478,6953,6660,70100,17929.31507,12000,1,70423,1453.057534,41,0,7520,309.8,5,20,2290,302.3780822,232,0,2826,301.0109589,17,291,12500,2054.016438,896,324,18713,2967.205479,1114,7068,157492,22349.57808,13135,42,175,98.99178082,94,0,0,0,0,0,4434,1873.912329,1842,0,0,0,0,46,4583,1972.90411,1970,850,4400,2335.342466,2000,0,21834,1091.454795,0,0,0,0,0,-20984,4400,1243.887671,1900,2318,11905,6148.657534,5400,-2918,37255,6334.528767,4560,2075,134005,12885.45753,5876,2406,170651,19132.7863,9646,0,0.39,0.129726027,0.11,-53,79,26.75342466,25,6686,154356,20796.14247,12305,-46,77,21.33972603,17,NA,NA,NA,NA,105,59,24,20,4,0,20,27,8,0
1963,240493,42900,21523,6177,23050,16350.93333,15487.5,14366,66244,35012.70968,32180,18952,55965,20994.64516,19700,14490,381101,103172.7143,78190,38009,81175,29179.74194,23291,15177,160248,102776.1667,109300.5,48431,67701,53123.51613,52222,44222,44829,19179.83333,17111,7699,9145,5638.935484,5538,3100,7229,5037.870968,5074,3003,18181,13479.56667,14560.5,7801,8720,94400,28020.08219,18800,9,230107,5575.723288,88,0,17300,633.2712329,79,28,5230,777.1479452,271,0,1962,397.7013699,81,1000,13100,3884.849315,2090,1088,26352,5692.969863,2736,10159,350859,39288.77534,23495,43,192,86.50136986,58,0,0,0,0,0,4382,1855.805479,1670,0,0,0,0,45,4564,1942.306849,1780,850,4400,2335.342466,2000,0,31696,1676.383562,0,0,0,0,0,-30796,4400,658.9589041,1700,3289,13384,6702.482192,6631,-907,59199,10024.9589,7569,3540,319746,26708.80822,11209,3003,381101,36687.50959,19829,0,0.37,0.095917808,0.05,-23,74,18.76986301,11,9019,352989,36610.36164,20393,-21,71,11.56986301,3,NA,NA,NA,NA,154,116,43,29,18,1,28,8,30,31
1964,23155,14978.25806,13704,10350,46025,27944.96667,26937,13425,28107,22824.90323,21919,21088,70873,29970.09677,20512,17103,29727,20914.51724,20465,15222,18190,13072.6129,12526,10282,18346,9186.6,7385.5,4821,11998,9783.580645,9697,6843,13743,5302.433333,4497,1344,4275,3184.709677,3313,1413,9468,4703.548387,4187,2909,12117,9441.6,9563,7285,9030,52200,16017.56831,13900,0,3221,92.08743169,28,0,4860,186.2486339,100,10,680,123.6721311,52,32,455,111.4918033,75.5,236,3980,1549.002732,898,300,8489,1970.415301,1263,9865,62010,18080.07104,15701.5,39,196,113.0655738,103.5,0,0,0,0,104,4792,2268.909836,2271,0,0,0,0,144,4974,2381.97541,2343,850,4400,2331.557377,2000,0,13087,887.1174863,0,0,0,0,0,-11337,4400,1444.439891,1900,2850,8213,5570.202186,5723,-2006,22349,4219.833333,4239,3347,49925,10134.99454,7309,1344,70873,14253.65574,11853,0,0.42,0.163469945,0.145,-30,86,29.13387978,24,9398,61411,16922.46175,14514.5,-33,86,23.96174863,18,NA,NA,NA,NA,67,11,36,11,0,11,0,0,0,0
1965,20796,8117.612903,6601,5989,34746,17243.36667,13690.5,10209,481781,108446.7742,19389,14771,270056,135616.2903,111198,84175,81460,56241.42857,55045.5,35077,35298,27859.64516,29373,20032,89427,56911.56667,60177.5,26213,51932,32369.93548,30744,21653,22388,16189.76667,18313.5,8837,8882,5864.806452,5209,4279,12986,8467.483871,8907,5427,14847,12916.63333,13615,9007,8640,98800,27526.30137,17200,0,343265,8689.879452,53,0,21500,917.169863,280,23,2880,792.5178082,428,65,2607,566.6328767,130,955,22700,5242.027397,3420,1094,34055,7518.347945,5293,9948,470122,43734.52877,23442,46,192,99.63835616,101,0,0,0,0,0,4436,2032.673973,1952,0,0,0,0,47,4598,2132.312329,2067,850,4400,2335.342466,2000,0,15073,1285.506849,0,0,0,0,0,-13023,4400,1049.835616,1800,3648,13969,6773.106849,6221,-609,52584,11476.86575,8816,3502,431201,29149.10959,9212,4279,481781,40552.38082,20219,0,0.34,0.104712329,0.08,-77,68,19.03561644,14,8757,462778,40077.54247,20918,-73,65,9.783561644,3,NA,NA,NA,NA,165,125,59,59,11,31,28,9,26,20
